"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72314013881","2020-05-10T00:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.24","31","44","0.00","","-0.00","0","60","30.23","CLR:00","29.41","10.00","39","020","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11405/10/20 00:52:02 METAR KCLT 100552Z 02005KT 10SM CLR 07/M01 A3024 RMK AO2 SLP237 T00671006 10156 20050 50001 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T01:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","44","","","0.00","9","60","30.23","","29.46","9.94","39","020","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072314 32966 00205 10067 21006 39976 40237 50001 90552 333 10156 20044 555 91006=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T01:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.23","29","46","0.00","","","","51","30.22","CLR:00","29.40","10.00","39","050","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 01:52:02 METAR KCLT 100652Z 05005KT 10SM CLR 08/M02 A3023 RMK AO2 SLP235 T00781017 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T02:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.24","28","47","0.00","","","","48","30.23","CLR:00","29.41","10.00","39","060","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 02:52:02 METAR KCLT 100752Z 06005KT 10SM CLR 08/M02 A3024 RMK AO2 SLP236 T00831022 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T03:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.26","30","47","0.00","","-0.02","3","52","30.25","CLR:00","29.43","10.00","40","060","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10205/10/20 03:52:02 METAR KCLT 100852Z 06005KT 10SM CLR 08/M01 A3026 RMK AO2 SLP243 T00831011 53006 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T04:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","47","","","-0.02","3","52","30.25","","29.48","9.94","40","060","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472314 32966 00605 10083 21011 39983 40243 53006 90852 555 91009=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T04:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.26","29","47","0.00","","","","50","30.25","CLR:00","29.43","10.00","39","070","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 04:52:02 METAR KCLT 100952Z 07007KT 10SM CLR 08/M02 A3026 RMK AO2 SLP245 T00831017 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T05:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.27","29","47","0.00","","","","50","30.26","FEW:02 250","29.44","10.00","39","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09905/10/20 05:52:02 METAR KCLT 101052Z 08007KT 10SM FEW250 08/M02 A3027 RMK AO2 SLP247 T00831017 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T06:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.29","29","50","0.00","","-0.03","3","44","30.28","SCT:04 250","29.46","10.00","41","080","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11705/10/20 06:52:02 METAR KCLT 101152Z 08006KT 10SM SCT250 10/M02 A3029 RMK AO2 SLP254 T01001017 10100 20067 53011 (MJ)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T07:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","50","","","-0.03","3","44","30.28","","29.51","9.94","41","080","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072314 32966 40806 10100 21017 39993 40254 53011 91152 333 10178 20050 555 91012=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
